site;date;observer;dive;start_time;end_time;replicate;start_depth;end_depth;depth;other_depth_information;visibility;direction;current;current_speed;temperature;method;other_method;length;width;height;diameter;census_duration;survey_description
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;1;;;4.6;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;2;;;3.4;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;3;;;4;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;4;;;7.1;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;5;;;4.5;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Talamantes, Claudia;1;11:55:00;12:30:00;6;;;4.2;mid-water;20;60;low;;25;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;1;;;6;near_bottom;16;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;2;;;5;near_bottom;15;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;3;;;6;near_bottom;15;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;4;;;6;near_bottom;15;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;5;;;6;near_bottom;15;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Cazares, Camilo;1;11:55:00;12:30:00;6;;;6;near_bottom;15;60;low;;24;transect;;30;2;2;;35;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;1;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;2;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;3;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;4;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;5;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Ucan, Victor Manuel;1;11:45:00;12:35:00;6;;;10;mid-water;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;1;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;2;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;3;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;4;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;5;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Lopez, Juan Gabriel;1;11:45:00;12:35:00;6;;;10;near_bottom;15;60;medium;;25;transect;;30;2;2;;50;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;1;;;16;near_bottom;13;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;2;;;16;near_bottom;13;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;3;;;16;near_bottom;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;4;;;15;near_bottom;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;5;;;15;near_bottom;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Becerra, Ulises;1;11:45:00;12:30:00;6;;;15;near_bottom;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;1;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;2;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;3;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;4;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;5;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Gonzalez, Marco Antonio;1;11:45:00;12:30:00;6;;;15;mid-water;15;60;low;;24;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;1;;;19;near_bottom;14;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;2;;;19;near_bottom;14;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;3;;;19;near_bottom;14;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;4;;;19;near_bottom;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;5;;;18;near_bottom;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Encinas, Leopoldo;1;11:45:00;12:30:00;6;;;19;near_bottom;14;60;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;1;;;17;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;2;;;17;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;3;;;17;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;4;;;18;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;5;;;18;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;02/11/2013;Caamal, Jacobo;1;11:45:00;12:30:00;6;;;17;mid-water;12;50;medium;;25;transect;;30;2;2;;45;
El Resumidero;03/11/2103;Torres, Daniel;1;;;1;;;5;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Torres, Daniel;1;;;2;;;5;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Torres, Daniel;1;;;3;;;5;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Torres, Daniel;1;;;4;;;5;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Lopez, Juan Gabriel;1;;;1;;;12;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Lopez, Juan Gabriel;1;;;2;;;12;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Lopez, Juan Gabriel;1;;;3;;;12;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Lopez, Juan Gabriel;1;;;4;;;12;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Valdez, Daniel;1;;;1;;;18;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Valdez, Daniel;1;;;2;;;18;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Valdez, Daniel;1;;;3;;;18;near_bottom;;;;;;transect;;30;2;2;;0;
El Resumidero;03/11/2103;Valdez, Daniel;1;;;4;;;18;near_bottom;;;;;;transect;;30;2;2;;0;
La Guina;02/11/2013;Torres, Daniel;1;11:39:00;12:40:00;1;;;5;near_bottom;10;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;1;11:39:00;12:40:00;2;;;5;near_bottom;10;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;1;11:39:00;12:40:00;3;;;5;near_bottom;10;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;1;11:39:00;12:40:00;1;;;5;mid-water;10;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;1;11:39:00;12:40:00;2;;;5;mid-water;10;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;1;11:39:00;12:40:00;3;;;5;mid-water;10;330;low;;25;transect;;30;2;2;;61;
La Guina;03/11/2013;Encinas, Leopoldo;1;2:35:00;2:55:00;1;;;5;near_bottom;12;140;low;;25;transect;;30;2;2;;20;
La Guina;03/11/2013;Encinas, Leopoldo;1;2:35:00;2:55:00;2;;;5;near_bottom;12;160;low;;25;transect;;30;2;2;;20;
La Guina;03/11/2013;Encinas, Leopoldo;1;2:35:00;2:55:00;3;;;5;near_bottom;12;100;low;;25;transect;;30;2;2;;20;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;1;;;10;near_bottom;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;2;;;10;near_bottom;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;3;;;10;near_bottom;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;4;;;10;near_bottom;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;5;;;10;near_bottom;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Torres, Daniel;2;11:39:00;12:40:00;6;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;1;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;2;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;3;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;4;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;5;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Valdivieso, Hugo;2;11:39:00;12:40:00;6;;;10;mid-water;12;330;low;;25;transect;;30;2;2;;61;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;1;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;2;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;3;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;4;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;5;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Bustamante, Noe;1;11:39:00;12:15:00;6;;;15;near_bottom;13;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;1;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;2;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;3;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;4;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;5;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Solano, Rosario;1;11:39:00;12:15:00;6;;;20;near_bottom;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;1;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;2;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;3;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;4;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;5;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;02/11/2013;Valdez, Daniel;1;11:39:00;12:15:00;6;;;20;mid-water;12;330;low;;25;transect;;30;2;2;;36;
La Guina;03/11/2013;Gonzalez, Marco Antonio;1;;;1;;;5;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Gonzalez, Marco Antonio;1;;;2;;;5;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Gonzalez, Marco Antonio;1;;;3;;;5;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Gonzalez, Marco Antonio;1;;;4;;;5;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Medina, Jaime;1;;;1;;;12;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Medina, Jaime;1;;;3;;;12;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Medina, Jaime;1;;;2;;;12;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Medina, Jaime;1;;;4;;;12;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Caamal, Jacobo;1;;;1;;;18;near_bottom;;160;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Caamal, Jacobo;1;;;2;;;18;near_bottom;;140;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Caamal, Jacobo;1;;;3;;;18;near_bottom;;150;;;;transect;;30;2;2;;0;
La Guina;03/11/2013;Caamal, Jacobo;1;;;4;;;18;near_bottom;;160;;;;transect;;30;2;2;;0;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;1;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;2;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;3;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;4;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;5;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;1;3:15:00;4:18:00;6;;;5;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;1;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;2;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;3;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;4;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;5;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Valdivieso, Hugo;1;3:15:00;4:18:00;6;;;5;mid-water;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;2;3:15:00;4:18:00;1;;;10;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;2;3:15:00;4:18:00;2;;;10;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;2;3:15:00;4:18:00;3;;;10;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;2;3:15:00;4:18:00;4;;;10;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
La Ensenada;02/11/2013;Torres, Daniel;2;3:15:00;4:18:00;5;;;10;near_bottom;12;0;low;;25;transect;;30;2;2;;63;
